title;link;rub_price;year;mileage;engine_capacity;hp;fuel_type;gearbox;carbody;city;ad_living_time;transmission;color
27.0;https://auto.ru/cars/used/sale/mercedes/v_klasse/1104924000-9ef1f9db/;5500000.0;2018.0;91000.0;2.1;136.0;1.0;3.0;17.0;104.0;22 минуты назад;2.0;8.0
51.0;https://auto.ru/cars/used/sale/nissan/juke/1103726846-5a6e5c1c/;720000.0;2013.0;162000.0;1.6;190.0;0.0;3.0;3.0;5.0;1 час назад;1.0;11.0
37.0;https://auto.ru/cars/used/sale/volvo/xc60/1105185349-ced31141/;1950000.0;2013.0;89000.0;2.0;240.0;0.0;2.0;3.0;104.0;21 минута назад;1.0;1.0
27.0;https://auto.ru/cars/used/sale/mercedes/cla_klasse/1105158283-075837f7/;2720000.0;2019.0;88000.0;2.0;190.0;1.0;2.0;15.0;104.0;1 час назад;1.0;11.0
21.0;https://auto.ru/cars/used/sale/genesis/g70/1103781513-530f72ae/;2350000.0;2018.0;75000.0;2.0;252.0;0.0;1.0;15.0;104.0;31 минута назад;0.0;9.0
13.0;https://auto.ru/cars/used/sale/mazda/3/1105023352-2bb2000b/;960000.0;2014.0;104000.0;1.6;104.0;0.0;1.0;15.0;104.0;1 час назад;1.0;1.0
12.0;https://auto.ru/cars/used/sale/skoda/kodiaq/1105088229-3da1bf6e/;3000000.0;2020.0;24000.0;2.0;190.0;1.0;2.0;3.0;104.0;22 минуты назад;0.0;5.0
54.0;https://auto.ru/cars/used/sale/audi/q7/1103993959-ba85ef00/;1940000.0;2014.0;156000.0;3.0;204.0;1.0;1.0;3.0;114.0;1 час назад;0.0;8.0
18.0;https://auto.ru/cars/used/sale/renault/dokker/1105080213-eccc97fa/;1540000.0;2019.0;22000.0;1.5;90.0;1.0;3.0;4.0;104.0;21 минута назад;1.0;11.0
51.0;https://auto.ru/cars/used/sale/nissan/qashqai/1104993331-6f09bca0/;1900000.0;2020.0;15000.0;1.2;115.0;0.0;0.0;3.0;114.0;22 минуты назад;1.0;8.0
49.0;https://auto.ru/cars/used/sale/volkswagen/tiguan/1104805114-fbc3b3c6/;1850000.0;2016.0;113000.0;1.4;150.0;0.0;2.0;3.0;104.0;22 минуты назад;1.0;11.0
15.0;https://auto.ru/cars/used/sale/kia/sportage/1103759468-f11220b9/;1440000.0;2017.0;98000.0;1.7;115.0;1.0;3.0;3.0;114.0;21 минута назад;1.0;8.0
51.0;https://auto.ru/cars/used/sale/nissan/x_trail/1104895465-f3e78306/;1760000.0;2017.0;128000.0;2.0;177.0;1.0;0.0;3.0;104.0;6 минут назад;1.0;1.0
26.0;https://auto.ru/cars/used/sale/toyota/land_cruiser/1105204719-e479ea3c/;2750000.0;2011.0;158000.0;4.7;288.0;0.0;1.0;3.0;109.0;1 час назад;0.0;1.0
54.0;https://auto.ru/cars/used/sale/audi/q7/1104033262-5ecdcd13/;5800000.0;2020.0;8000.0;3.0;462.0;3.0;1.0;3.0;104.0;22 минуты назад;0.0;1.0
26.0;https://auto.ru/cars/used/sale/toyota/land_cruiser_prado/1104245540-65b8006b/;;2021.0;1000.0;4.0;249.0;0.0;1.0;3.0;135.0;NODATA;0.0;1.0
15.0;https://auto.ru/cars/used/sale/kia/seltos/1104918440-1c6a3902/;2050000.0;2020.0;10000.0;1.6;136.0;1.0;2.0;3.0;104.0;22 минуты назад;0.0;8.0
50.0;https://auto.ru/cars/used/sale/chevrolet/orlando/1105079056-7c1fdb20/;840000.0;2013.0;121000.0;1.8;141.0;0.0;3.0;4.0;104.0;1 час назад;1.0;11.0
27.0;https://auto.ru/cars/used/sale/mercedes/s_klasse/1105158285-c7c5ab36/;5250000.0;2017.0;34000.0;4.7;455.0;0.0;1.0;15.0;104.0;1 час назад;0.0;1.0
55.0;https://auto.ru/cars/used/sale/hyundai/creta/1104864551-c0bbe5d3/;1030000.0;2017.0;102000.0;1.6;128.0;1.0;3.0;3.0;125.0;1 час назад;1.0;11.0
36.0;https://auto.ru/cars/used/sale/bmw/8er/1104205268-86dd54fe/;9980000.0;2020.0;2000.0;3.0;340.0;0.0;1.0;15.0;40.0;4 часа назад;2.0;8.0
15.0;https://auto.ru/cars/used/sale/kia/k5/1104251613-ac573e88/;1840000.0;2020.0;52000.0;2.0;150.0;0.0;1.0;15.0;104.0;22 минуты назад;1.0;11.0
26.0;https://auto.ru/cars/used/sale/toyota/camry/1105238401-fcfecc46/;1400000.0;2014.0;142000.0;3.5;277.0;0.0;1.0;15.0;104.0;58 минут назад;1.0;1.0
27.0;https://auto.ru/cars/used/sale/mercedes/e_klasse/1104025321-60c8c124/;1400000.0;2015.0;282000.0;3.5;252.0;0.0;1.0;15.0;104.0;22 минуты назад;0.0;1.0
55.0;https://auto.ru/cars/used/sale/hyundai/creta/1105270267-7d868b81/;1660000.0;2019.0;38000.0;1.6;128.0;1.0;3.0;3.0;113.0;1 час назад;1.0;11.0
15.0;https://auto.ru/cars/used/sale/kia/soul/1104949855-3631bdf7/;1920000.0;2020.0;30000.0;1.6;200.0;0.0;2.0;1.0;104.0;22 минуты назад;1.0;9.0
27.0;https://auto.ru/cars/used/sale/mercedes/e_klasse/1105280135-7ac0e2c7/;4360000.0;2020.0;4000.0;2.0;306.0;3.0;1.0;15.0;104.0;28 минут назад;2.0;1.0
9.0;https://auto.ru/cars/used/sale/mitsubishi/outlander/1103718547-e1c5eb57/;800000.0;2010.0;131000.0;2.0;147.0;0.0;3.0;3.0;104.0;1 час назад;1.0;1.0
27.0;https://auto.ru/cars/used/sale/mercedes/glc_coupe/1103924537-3089e0d9/;4000000.0;2019.0;8000.0;2.0;258.0;0.0;1.0;3.0;104.0;31 минута назад;0.0;11.0
49.0;https://auto.ru/cars/used/sale/volkswagen/tiguan/1104885963-e69bcafa/;1970000.0;2020.0;54000.0;1.4;125.0;0.0;2.0;3.0;104.0;22 минуты назад;1.0;1.0
15.0;https://auto.ru/cars/used/sale/kia/ceed/1104803338-1155fef7/;740000.0;2017.0;285000.0;1.6;130.0;0.0;1.0;16.0;104.0;22 минуты назад;1.0;11.0
27.0;https://auto.ru/cars/used/sale/mercedes/gle_klasse/1105265929-a73b9243/;6910000.0;2019.0;67000.0;4.0;489.0;0.0;1.0;3.0;104.0;21 минута назад;0.0;11.0
